Registration Number,Chassis_No,ChallanNo,Place,Date,State,Fine,Receipt Amout,Service Charge,Documents
DL51EV5662,MD9EMHDL24B217252,DL214195250426185100,KALKADAS CHOWK,##########,DL,500,300,50,
DL51EV5663,MD9EMHDL24B217277,DL18203250429094347,KAPASHERA BORDER,##########,DL,500,300,50,
DL51EV4853,MD9EMHDL24A217182,DL141663250425182010,BARF KHANA CHOWK,##########,DL,500,100,50,
DL51EV5643,MD9EMHDL24B217272,UP212914240710185308,"Sharma Market, 4, Captain Vijyant Thapar Marg, Atta, Atta Market, Pocket E, Sector 27, Noida, Uttar Pradesh 201301, India",##########,UP,2000,500,50,
DL51EV5643,MD9EMHDL24B217272,DL135337250320121115,MAYAPURI CHOWK,##########,DL,500,100,50,
DL51EV5324,MD9EMHDL24B217063,DL219738250424131444,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51EV5324,MD9EMHDL24B217063,DL219738250424131059,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL51EV5396,MD9EMHDL24B217184,DL215357241216165934,RAJA PARK RED LIGHT,##########,DL,500,100,50,
DL51EV5396,MD9EMHDL24B217184,DL19923250317165210,RAJOKRI,##########,DL,500,300,50,
DL51EV5690,MD9EMHDL24B217212,DL18203250510193110,KAPASHERA BORDER,##########,DL,500,300,50,
DL51EV5631,MD9EMHDL24B217268,DL17786250403115317,GTK,##########,DL,500,300,50,
DL51EV5618,MD9EMHDL24B217217,DL18730250622160851,BIKANER CHOWK,##########,DL,20000,5000,50,
DL51EV5618,MD9EMHDL24B217217,DL18730250622160556,BIKANER CHOWK,##########,DL,20000,5000,50,
DL51EV5618,MD9EMHDL24B217217,DL221884250303135250,PUNJABI BAGH R/A,##########,DL,500,100,50,
DL51EV5618,MD9EMHDL24B217217,DL253819250420153321,SARWATI,##########,DL,20000,5000,50,
DL51EV5618,MD9EMHDL24B217217,DL253819250420152611,SARWATI,##########,DL,20000,5000,50,
DL51EV5672,MD9EMHDL24B217247,DL253014250512185935,CHAWADI BAZAR,##########,DL,500,300,50,
DL51EV5617,MD9EMHDL24B217187,DL19074250620114157,INA RED LIGHT,##########,DL,500,300,50,
DL51EV4882,MD9EMHDL24A217126,DL19923250401194504,RAJOKRI,##########,DL,500,300,50,
DL51EV4881,MD9EMHDL24A217238,DL294772250614185336,KAROL BAGH,##########,DL,20000,5000,50,
DL51EV4881,MD9EMHDL24A217238,DL294772250614184507,KAROL BAGH,##########,DL,20000,5000,50,
DL51EV4871,MD9EMHDL24A217124,DL17772250526184813,JAHANGIR PURI METRO,##########,DL,500,300,50,
DL51EV4830,MD9EMHDL24A217143,DL19312250304163308,PRIYA,##########,DL,500,300,50,
DL51EV4861,MD9EMHDL24A217260,DL132364250501201658,PANCHKUIA,##########,DL,500,300,50,
DL51EV8865,MAT486022RZA01647,DL61322250513102422,LOHA MANDI RED LIGHT,##########,DL,500,100,50,
DL51EV8854,MAT486022RZA01658,DL288784250529163429,TATA MOTERS,##########,DL,500,300,50,
DL51EV8827,MAT486022RZA01807,DL276684250219100346,R/A PUNJABI BAGH,##########,DL,500,100,50,
DL51EV8847,MAT486022RZA01666,DL214975250109131137,BAKKARWALA MOR,##########,DL,500,100,50,
DL51EV8847,MAT486022RZA01666,DL135055250514114954,SAKET MALL,##########,DL,500,300,50,
DL1LAM9724,MAT486022RZE10541,DL18306250225161545,JUNK MARKET,##########,DL,500,100,50,
DL1LAM9745,MAT486022RZD10347,DL19923250506193652,PUSHPANJALI,##########,DL,500,300,50,
DL1LAM9745,MAT486022RZD10347,DL233326250520153855,ANAND PARVAT GALI NO 10 &11,##########,DL,500,300,50,
DL1LAK7207,MD2B88302RWD03011,DL19923250423175900,FIMT COLLEGE,##########,DL,500,300,50,
DL1LAK7224,MD2B88308RWE03551,DL253819250515180250,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL1LAK7224,MD2B88308RWE03551,DL253819250515175119,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL1LAK7289,MD2B88309RWE03512,DL20692250501174338,SEC 12 R K PURAM,##########,DL,500,300,50,
DL1LAK7288,MD2B88309RWF03576,DL19923250330192109,MATADEEN MARG,##########,DL,500,300,50,
DL1LAK7260,MD2B88307RWF03866,DL297052250607172642,KAROL BAGH,##########,DL,20000,5000,50,
DL1LAK7260,MD2B88307RWF03866,DL297052250607171835,KAROL BAGH,##########,DL,20000,5000,50,
DL1LAK7398,MD2B88302RWF03824,DL233327250527152941,197/198VIDEO CON,##########,DL,20000,5000,50,
DL1LAK7398,MD2B88302RWF03824,DL233327250527152446,197/198VIDEO CON,##########,DL,20000,5000,50,
DL1LAK7257,MD2B88302RWF03791,DL136369250414105124,INFRONT OF GALI 10ANAND PARVAT NEW ROHTAK ROAD,##########,DL,500,300,50,
DL1LAK7246,MD2B8830XRWF03781,DL180179250218160955,R/A BAGGA,##########,DL,25000,10000,50,
DL1LAK7246,MD2B8830XRWF03781,DL180179250218154848,R/A BAGGA,##########,DL,25000,10000,50,
DL1LAK7235,MD2B88300RWF03823,DL297052250611182236,BIKANER CHOWK,##########,DL,20000,5000,50,
DL1LAK7235,MD2B88300RWF03823,DL297052250611180044,BIKANER CHOWK,##########,DL,20000,5000,50,
DL1LAK7484,MD2B88308RWF03908,DL19923250326193737,NH8RAJOKRI,##########,DL,500,300,50,
DL1LAK7556,MD2B88304RWF03940,DL233327250516183737,R/A BAGGA,##########,DL,25000,10000,50,
DL1LAK7556,MD2B88304RWF03940,DL233327250516182704,R/A BAGGA,##########,DL,25000,10000,50,
